CODIGO;TITULO;TITULO_SEM_ACENTO_E_EM_CAIXA_ALTA
760310;Encarregado de costura na confecção do vestuário;ENCARREGADO DE COSTURA NA CONFECCAO DO VESTUARIO
992210;Encarregado de equipe de conservação de vias permanentes (exceto trilhos);ENCARREGADO DE EQUIPE DE CONSERVACAO DE VIAS PERMANENTES (EXCETO TRILHOS)
313415;Encarregado de manutenção de instrumentos de controle, medição e similares;ENCARREGADO DE MANUTENCAO DE INSTRUMENTOS DE CONTROLE, MEDICAO E SIMILARES
950205;Encarregado de manutenção elétrica de veículos;ENCARREGADO DE MANUTENCAO ELETRICA DE VEICULOS
910105;Encarregado de manutenção mecânica de sistemas operacionais;ENCARREGADO DE MANUTENCAO MECANICA DE SISTEMAS OPERACIONAIS
992205;Encarregado geral de operações de conservação de vias permanentes (exceto trilhos);ENCARREGADO GERAL DE OPERACOES DE CONSERVACAO DE VIAS PERMANENTES (EXCETO TRILHOS)
223505;Enfermeiro;ENFERMEIRO
223510;Enfermeiro auditor;ENFERMEIRO AUDITOR
223565;Enfermeiro da estratégia de saúde da família;ENFERMEIRO DA ESTRATEGIA DE SAUDE DA FAMILIA
223515;Enfermeiro de bordo;ENFERMEIRO DE BORDO
223520;Enfermeiro de centro cirúrgico;ENFERMEIRO DE CENTRO CIRURGICO
223525;Enfermeiro de terapia intensiva;ENFERMEIRO DE TERAPIA INTENSIVA
223530;Enfermeiro do trabalho;ENFERMEIRO DO TRABALHO
223580;Enfermeiro estomaterapeuta;ENFERMEIRO ESTOMATERAPEUTA
223585;Enfermeiro forense;ENFERMEIRO FORENSE
223535;Enfermeiro nefrologista;ENFERMEIRO NEFROLOGISTA
223540;Enfermeiro neonatologista;ENFERMEIRO NEONATOLOGISTA
223545;Enfermeiro obstétrico;ENFERMEIRO OBSTETRICO
223550;Enfermeiro psiquiátrico;ENFERMEIRO PSIQUIATRICO
223555;Enfermeiro puericultor e pediátrico;ENFERMEIRO PUERICULTOR E PEDIATRICO
223560;Enfermeiro sanitarista;ENFERMEIRO SANITARISTA
763115;Enfestador de roupas;ENFESTADOR DE ROUPAS
751005;Engastador (jóias);ENGASTADOR (JOIAS)
214425;Engenheiro aeronáutico;ENGENHEIRO AERONAUTICO
222105;Engenheiro agrícola;ENGENHEIRO AGRICOLA
214805;Engenheiro agrimensor;ENGENHEIRO AGRIMENSOR
222110;Engenheiro agrônomo;ENGENHEIRO AGRONOMO
214005;Engenheiro ambiental;ENGENHEIRO AMBIENTAL
214380;Engenheiro biomédico;ENGENHEIRO BIOMEDICO
214810;Engenheiro cartógrafo;ENGENHEIRO CARTOGRAFO
214205;Engenheiro civil;ENGENHEIRO CIVIL
214210;Engenheiro civil (aeroportos);ENGENHEIRO CIVIL (AEROPORTOS)
214215;Engenheiro civil (edificações);ENGENHEIRO CIVIL (EDIFICACOES)
214220;Engenheiro civil (estruturas metálicas);ENGENHEIRO CIVIL (ESTRUTURAS METALICAS)
214225;Engenheiro civil (ferrovias e metrovias);ENGENHEIRO CIVIL (FERROVIAS E METROVIAS)
214230;Engenheiro civil (geotécnia);ENGENHEIRO CIVIL (GEOTECNIA)
214240;Engenheiro civil (hidráulica);ENGENHEIRO CIVIL (HIDRAULICA)
214235;Engenheiro civil (hidrologia);ENGENHEIRO CIVIL (HIDROLOGIA)
214245;Engenheiro civil (pontes e viadutos);ENGENHEIRO CIVIL (PONTES E VIADUTOS)
214250;Engenheiro civil (portos e vias navegáveis);ENGENHEIRO CIVIL (PORTOS E VIAS NAVEGAVEIS)
214255;Engenheiro civil (rodovias);ENGENHEIRO CIVIL (RODOVIAS)
214260;Engenheiro civil (saneamento);ENGENHEIRO CIVIL (SANEAMENTO)
214270;Engenheiro civil (transportes e trânsito);ENGENHEIRO CIVIL (TRANSPORTES E TRANSITO)
214265;Engenheiro civil (túneis);ENGENHEIRO CIVIL (TUNEIS)
222205;Engenheiro de alimentos;ENGENHEIRO DE ALIMENTOS
212205;Engenheiro de aplicativos em computação;ENGENHEIRO DE APLICATIVOS EM COMPUTACAO
214910;Engenheiro de controle de qualidade;ENGENHEIRO DE CONTROLE DE QUALIDADE
202110;Engenheiro de controle e automação;ENGENHEIRO DE CONTROLE E AUTOMACAO
214375;Engenheiro de energia;ENGENHEIRO DE ENERGIA
212210;Engenheiro de equipamentos em computação;ENGENHEIRO DE EQUIPAMENTOS EM COMPUTACAO
214945;Engenheiro de logistica;ENGENHEIRO DE LOGISTICA
214335;Engenheiro de manutenção de telecomunicações;ENGENHEIRO DE MANUTENCAO DE TELECOMUNICACOES
214605;Engenheiro de materiais;ENGENHEIRO DE MATERIAIS
214705;Engenheiro de minas;ENGENHEIRO DE MINAS
214710;Engenheiro de minas (beneficiamento);ENGENHEIRO DE MINAS (BENEFICIAMENTO)
214715;Engenheiro de minas (lavra a céu aberto);ENGENHEIRO DE MINAS (LAVRA A CEU ABERTO)
214720;Engenheiro de minas (lavra subterrânea);ENGENHEIRO DE MINAS (LAVRA SUBTERRANEA)
214725;Engenheiro de minas (pesquisa mineral);ENGENHEIRO DE MINAS (PESQUISA MINERAL)
214730;Engenheiro de minas (planejamento);ENGENHEIRO DE MINAS (PLANEJAMENTO)
214735;Engenheiro de minas (processo);ENGENHEIRO DE MINAS (PROCESSO)
214740;Engenheiro de minas (projeto);ENGENHEIRO DE MINAS (PROJETO)
222115;Engenheiro de pesca;ENGENHEIRO DE PESCA
214905;Engenheiro de produção;ENGENHEIRO DE PRODUCAO
214350;Engenheiro de redes de comunicação;ENGENHEIRO DE REDES DE COMUNICACAO
214920;Engenheiro de riscos;ENGENHEIRO DE RISCOS
214915;Engenheiro de segurança do trabalho;ENGENHEIRO DE SEGURANCA DO TRABALHO
214340;Engenheiro de telecomunicações;ENGENHEIRO DE TELECOMUNICACOES
214925;Engenheiro de tempos e movimentos;ENGENHEIRO DE TEMPOS E MOVIMENTOS
214305;Engenheiro eletricista;ENGENHEIRO ELETRICISTA
214315;Engenheiro eletricista de manutenção;ENGENHEIRO ELETRICISTA DE MANUTENCAO
214320;Engenheiro eletricista de projetos;ENGENHEIRO ELETRICISTA DE PROJETOS
214310;Engenheiro eletrônico;ENGENHEIRO ELETRONICO
214325;Engenheiro eletrônico de manutenção;ENGENHEIRO ELETRONICO DE MANUTENCAO
214330;Engenheiro eletrônico de projetos;ENGENHEIRO ELETRONICO DE PROJETOS
222120;Engenheiro florestal;ENGENHEIRO FLORESTAL
214405;Engenheiro mecânico;ENGENHEIRO MECANICO
214415;Engenheiro mecânico (energia nuclear);ENGENHEIRO MECANICO (ENERGIA NUCLEAR)
214410;Engenheiro mecânico automotivo;ENGENHEIRO MECANICO AUTOMOTIVO
214420;Engenheiro mecânico industrial;ENGENHEIRO MECANICO INDUSTRIAL
202105;Engenheiro mecatrônico;ENGENHEIRO MECATRONICO
214610;Engenheiro metalurgista;ENGENHEIRO METALURGISTA
214430;Engenheiro naval;ENGENHEIRO NAVAL
214345;Engenheiro projetista de telecomunicações;ENGENHEIRO PROJETISTA DE TELECOMUNICACOES
214505;Engenheiro químico;ENGENHEIRO QUIMICO
214510;Engenheiro químico (indústria química);ENGENHEIRO QUIMICO (INDUSTRIA QUIMICA)
214515;Engenheiro químico (mineração, metalurgia, siderurgia, cimenteira e cerâmica);ENGENHEIRO QUIMICO (MINERACAO, METALURGIA, SIDERURGIA, CIMENTEIRA E CERAMICA)
214520;Engenheiro químico (papel e celulose);ENGENHEIRO QUIMICO (PAPEL E CELULOSE)
214525;Engenheiro químico (petróleo e borracha);ENGENHEIRO QUIMICO (PETROLEO E BORRACHA)
214530;Engenheiro químico (utilidades e meio ambiente);ENGENHEIRO QUIMICO (UTILIDADES E MEIO AMBIENTE)
214540;Engenheiro têxtil;ENGENHEIRO TEXTIL
212215;Engenheiros de sistemas operacionais em computação;ENGENHEIROS DE SISTEMAS OPERACIONAIS EM COMPUTACAO
519915;Engraxate;ENGRAXATE
325005;Enólogo;ENOLOGO
262825;Ensaiador de dança;ENSAIADOR DE DANCA
775105;Entalhador  de madeira;ENTALHADOR  DE MADEIRA
415215;Entregador de publicações;ENTREGADOR DE PUBLICACOES
424105;Entrevistador censitário e de pesquisas amostrais;ENTREVISTADOR CENSITARIO E DE PESQUISAS AMOSTRAIS
424110;Entrevistador de pesquisa de opinião e mídia;ENTREVISTADOR DE PESQUISA DE OPINIAO E MIDIA
424115;Entrevistador de pesquisas de mercado;ENTREVISTADOR DE PESQUISAS DE MERCADO
424120;Entrevistador de preços;ENTREVISTADOR DE PRECOS
424130;Entrevistador social;ENTREVISTADOR SOCIAL
762215;Enxugador de couros;ENXUGADOR DE COUROS
376230;Equilibrista;EQUILIBRISTA
226315;Equoterapeuta;EQUOTERAPEUTA
821410;Escarfador;ESCARFADOR
391225;Escolhedor de papel;ESCOLHEDOR DE PAPEL
711125;Escorador de minas;ESCORADOR DE MINAS
351405;Escrevente;ESCREVENTE
261515;Escritor de ficção;ESCRITOR DE FICCAO
261520;Escritor de não ficção;ESCRITOR DE NAO FICCAO
424125;Escriturário  em  estatística;ESCRITURARIO  EM  ESTATISTICA
413225;Escriturário de banco;ESCRITURARIO DE BANCO
351420;Escrivão de polícia;ESCRIVAO DE POLICIA
351415;Escrivão extra - judicial;ESCRIVAO EXTRA - JUDICIAL
351410;Escrivão judicial;ESCRIVAO JUDICIAL
516805;Esotérico;ESOTERICO
111505;Especialista de políticas públicas e gestão governamental - eppgg;ESPECIALISTA DE POLITICAS PUBLICAS E GESTAO GOVERNAMENTAL - EPPGG
201210;Especialista em calibrações metrológicas;ESPECIALISTA EM CALIBRACOES METROLOGICAS
142610;Especialista em desenvolvimento de cigarros;ESPECIALISTA EM DESENVOLVIMENTO DE CIGARROS
201215;Especialista em ensaios metrológicos;ESPECIALISTA EM ENSAIOS METROLOGICOS
201220;Especialista em instrumentação metrológica;ESPECIALISTA EM INSTRUMENTACAO METROLOGICA
201225;Especialista em materiais de referência metrológica;ESPECIALISTA EM MATERIAIS DE REFERENCIA METROLOGICA
211110;Especialista em pesquisa operacional;ESPECIALISTA EM PESQUISA OPERACIONAL
523125;Estampador de placa de identificação veicular (epiv);ESTAMPADOR DE PLACA DE IDENTIFICACAO VEICULAR (EPIV)
761410;Estampador de tecido;ESTAMPADOR DE TECIDO
211205;Estatístico;ESTATISTICO
211210;Estatístico (estatística aplicada);ESTATISTICO (ESTATISTICA APLICADA)
211215;Estatístico teórico;ESTATISTICO TEORICO
776425;Esteireiro;ESTEIREIRO
351515;Estenotipista;ESTENOTIPISTA
841440;Esterilizador de alimentos;ESTERILIZADOR DE ALIMENTOS
322130;Esteticista;ESTETICISTA
519310;Esteticista de animais domésticos;ESTETICISTA DE ANIMAIS DOMESTICOS
762305;Estirador de couros e peles (acabamento);ESTIRADOR DE COUROS E PELES (ACABAMENTO)
762115;Estirador de couros e peles (preparação);ESTIRADOR DE COUROS E PELES (PREPARACAO)
722410;Estirador de tubos de metal sem costura;ESTIRADOR DE TUBOS DE METAL SEM COSTURA
783220;Estivador;ESTIVADOR
765230;Estofador de aviões;ESTOFADOR DE AVIOES
765235;Estofador de móveis;ESTOFADOR DE MOVEIS
414125;Estoquista;ESTOQUISTA
732115;Examinador de cabos, linhas elétricas e telefônicas;EXAMINADOR DE CABOS, LINHAS ELETRICAS E TELEFONICAS
414135;Expedidor de mercadorias;EXPEDIDOR DE MERCADORIAS
823210;Extrusor de fios ou fibras de vidro;EXTRUSOR DE FIOS OU FIBRAS DE VIDRO
223405;Farmacêutico;FARMACEUTICO
223415;Farmacêutico analista clínico;FARMACEUTICO ANALISTA CLINICO
223420;Farmacêutico de alimentos;FARMACEUTICO DE ALIMENTOS
223430;Farmacêutico em saúde pública;FARMACEUTICO EM SAUDE PUBLICA
223445;Farmacêutico hospitalar e clínico;FARMACEUTICO HOSPITALAR E CLINICO
223435;Farmacêutico industrial;FARMACEUTICO INDUSTRIAL
223425;Farmacêutico práticas integrativas e complementares;FARMACEUTICO PRATICAS INTEGRATIVAS E COMPLEMENTARES
223440;Farmacêutico toxicologista;FARMACEUTICO TOXICOLOGISTA
514320;Faxineiro;FAXINEIRO
524205;Feirante;FEIRANTE
841715;Fermentador;FERMENTADOR
623030;Ferrador de animais;FERRADOR DE ANIMAIS
721105;Ferramenteiro;FERRAMENTEIRO
721110;Ferramenteiro de mandris, calibradores e outros dispositivos;FERRAMENTEIRO DE MANDRIS, CALIBRADORES E OUTROS DISPOSITIVOS
261405;Filólogo;FILOLOGO
251405;Filósofo;FILOSOFO
841710;Filtrador de cerveja;FILTRADOR DE CERVEJA
374410;Finalizador de filmes;FINALIZADOR DE FILMES
374415;Finalizador de vídeo;FINALIZADOR DE VIDEO
254505;Fiscal de atividades urbanas;FISCAL DE ATIVIDADES URBANAS
342515;Fiscal de aviação civil (fac);FISCAL DE AVIACAO CIVIL (FAC)
517425;Fiscal de loja;FISCAL DE LOJA
710225;Fiscal de pátio de usina de concreto;FISCAL DE PATIO DE USINA DE CONCRETO
342555;Fiscal de pista de aeroporto;FISCAL DE PISTA DE AEROPORTO
511205;Fiscal de transportes coletivos (exceto trem);FISCAL DE TRANSPORTES COLETIVOS (EXCETO TREM)
254405;Fiscal de tributos estadual;FISCAL DE TRIBUTOS ESTADUAL
254410;Fiscal de tributos municipal;FISCAL DE TRIBUTOS MUNICIPAL
213105;Físico;FISICO
213110;Físico (acústica);FISICO (ACUSTICA)
213115;Físico (atômica e molecular);FISICO (ATOMICA E MOLECULAR)
213120;Físico (cosmologia);FISICO (COSMOLOGIA)
213125;Físico (estatística e matemática);FISICO (ESTATISTICA E MATEMATICA)
213130;Físico (fluidos);FISICO (FLUIDOS)
213135;Físico (instrumentação);FISICO (INSTRUMENTACAO)
213140;Físico (matéria condensada);FISICO (MATERIA CONDENSADA)
213145;Físico (materiais);FISICO (MATERIAIS)
213150;Físico (medicina);FISICO (MEDICINA)
213155;Físico (nuclear e reatores);FISICO (NUCLEAR E REATORES)
213160;Físico (óptica);FISICO (OPTICA)
213165;Físico (partículas e campos);FISICO (PARTICULAS E CAMPOS)
213170;Físico (plasma);FISICO (PLASMA)
213175;Físico (térmica);FISICO (TERMICA)
223660;Fisioterapeuta  do trabalho;FISIOTERAPEUTA  DO TRABALHO
223650;Fisioterapeuta acupunturista;FISIOTERAPEUTA ACUPUNTURISTA
223655;Fisioterapeuta esportivo;FISIOTERAPEUTA ESPORTIVO
223605;Fisioterapeuta geral;FISIOTERAPEUTA GERAL
223630;Fisioterapeuta neurofuncional;FISIOTERAPEUTA NEUROFUNCIONAL
223640;Fisioterapeuta osteopata;FISIOTERAPEUTA OSTEOPATA
223645;Fisioterapeuta quiropraxista;FISIOTERAPEUTA QUIROPRAXISTA
223625;Fisioterapeuta respiratória;FISIOTERAPEUTA RESPIRATORIA
223635;Fisioterapeuta traumato-ortopédica funcional;FISIOTERAPEUTA TRAUMATO-ORTOPEDICA FUNCIONAL
415120;Fitotecário;FITOTECARIO
862105;Foguista (locomotivas a vapor);FOGUISTA (LOCOMOTIVAS A VAPOR)
775110;Folheador de móveis de madeira;FOLHEADOR DE MOVEIS DE MADEIRA
223815;Fonoaudiólogo educacional;FONOAUDIOLOGO EDUCACIONAL
223820;Fonoaudiólogo em audiologia;FONOAUDIOLOGO EM AUDIOLOGIA
223825;Fonoaudiólogo em disfagia;FONOAUDIOLOGO EM DISFAGIA
223830;Fonoaudiólogo em linguagem;FONOAUDIOLOGO EM LINGUAGEM
223835;Fonoaudiólogo em motricidade orofacial;FONOAUDIOLOGO EM MOTRICIDADE OROFACIAL
223840;Fonoaudiólogo em saúde coletiva;FONOAUDIOLOGO EM SAUDE COLETIVA
223845;Fonoaudiólogo em voz;FONOAUDIOLOGO EM VOZ
223810;Fonoaudiólogo geral;FONOAUDIOLOGO GERAL
722105;Forjador;FORJADOR
722110;Forjador a martelo;FORJADOR A MARTELO
722115;Forjador prensista;FORJADOR PRENSISTA
823315;Forneiro (materiais de construção);FORNEIRO (MATERIAIS DE CONSTRUCAO)
822105;Forneiro de cubilô;FORNEIRO DE CUBILO
822110;Forneiro de forno-poço;FORNEIRO DE FORNO-POCO
822115;Forneiro de fundição (forno de redução);FORNEIRO DE FUNDICAO (FORNO DE REDUCAO)
822120;Forneiro de reaquecimento e tratamento térmico na metalurgia;FORNEIRO DE REAQUECIMENTO E TRATAMENTO TERMICO NA METALURGIA
822125;Forneiro de revérbero;FORNEIRO DE REVERBERO
821205;Forneiro e operador (alto-forno);FORNEIRO E OPERADOR (ALTO-FORNO)
821210;Forneiro e operador (conversor a oxigênio);FORNEIRO E OPERADOR (CONVERSOR A OXIGENIO)
821215;Forneiro e operador (forno elétrico);FORNEIRO E OPERADOR (FORNO ELETRICO)
821220;Forneiro e operador (refino de metais não-ferrosos);FORNEIRO E OPERADOR (REFINO DE METAIS NAO-FERROSOS)
821225;Forneiro e operador de forno de redução direta;FORNEIRO E OPERADOR DE FORNO DE REDUCAO DIRETA
823215;Forneiro na fundição de vidro;FORNEIRO NA FUNDICAO DE VIDRO
823220;Forneiro no recozimento de vidro;FORNEIRO NO RECOZIMENTO DE VIDRO
723210;Fosfatizador;FOSFATIZADOR
261805;Fotógrafo;FOTOGRAFO
261810;Fotógrafo publicitário;FOTOGRAFO PUBLICITARIO
261815;Fotógrafo retratista;FOTOGRAFO RETRATISTA
521135;Frentista;FRENTISTA
762120;Fuloneiro;FULONEIRO
762310;Fuloneiro no acabamento de couros e peles;FULONEIRO NO ACABAMENTO DE COUROS E PELES
751110;Fundidor (joalheria e ourivesaria);FUNDIDOR (JOALHERIA E OURIVESARIA)
722205;Fundidor de metais;FUNDIDOR DE METAIS
991305;Funileiro de veículos (reparação);FUNILEIRO DE VEICULOS (REPARACAO)
724435;Funileiro industrial;FUNILEIRO INDUSTRIAL
723215;Galvanizador;GALVANIZADOR
519920;Gandula;GANDULA
514110;Garagista;GARAGISTA
513405;Garçom;GARCOM
711405;Garimpeiro;GARIMPEIRO
631405;Gelador industrial;GELADOR INDUSTRIAL
631410;Gelador profissional;GELADOR PROFISSIONAL
201115;Geneticista;GENETICISTA
213415;Geofísico;GEOFISICO
213310;Geofísico espacial;GEOFISICO ESPACIAL
251305;Geógrafo;GEOGRAFO
213405;Geólogo;GEOLOGO
213410;Geólogo de engenharia;GEOLOGO DE ENGENHARIA
213420;Geoquímico;GEOQUIMICO
142105;Gerente administrativo;GERENTE ADMINISTRATIVO
142305;Gerente comercial;GERENTE COMERCIAL
141805;Gerente de administração em aeroportos;GERENTE DE ADMINISTRACAO EM AEROPORTOS
141710;Gerente de agência;GERENTE DE AGENCIA
142415;Gerente de almoxarifado;GERENTE DE ALMOXARIFADO
141515;Gerente de bar;GERENTE DE BAR
141715;Gerente de câmbio e comércio exterior;GERENTE DE CAMBIO E COMERCIO EXTERIOR
253205;Gerente de captação (fundos e investimentos institucionais);GERENTE DE CAPTACAO (FUNDOS E INVESTIMENTOS INSTITUCIONAIS)
253210;Gerente de clientes especiais (private);GERENTE DE CLIENTES ESPECIAIS (PRIVATE)
142405;Gerente de compras;GERENTE DE COMPRAS
142310;Gerente de comunicação;GERENTE DE COMUNICACAO
253215;Gerente de contas - pessoa física e jurídica;GERENTE DE CONTAS - PESSOA FISICA E JURIDICA
141720;Gerente de crédito e cobrança;GERENTE DE CREDITO E COBRANCA
141725;Gerente de crédito imobiliário;GERENTE DE CREDITO IMOBILIARIO
141730;Gerente de crédito rural;GERENTE DE CREDITO RURAL
142210;Gerente de departamento pessoal;GERENTE DE DEPARTAMENTO PESSOAL
142510;Gerente de desenvolvimento de sistemas;GERENTE DE DESENVOLVIMENTO DE SISTEMAS
141810;Gerente de empresa aérea e empresa de serviços auxiliares ao transporte aéreo (esata) em aeroportos;GERENTE DE EMPRESA AEREA E EMPRESA DE SERVICOS AUXILIARES AO TRANSPORTE AEREO (ESATA) EM AEROPORTOS
142140;Gerente de facility management;GERENTE DE FACILITY MANAGEMENT
253220;Gerente de grandes contas (corporate);GERENTE DE GRANDES CONTAS (CORPORATE)
141505;Gerente de hotel;GERENTE DE HOTEL
142505;Gerente de infraestrutura de tecnologia da informação;GERENTE DE INFRAESTRUTURA DE TECNOLOGIA DA INFORMACAO
131315;Gerente de instituição educacional da área privada;GERENTE DE INSTITUICAO EDUCACIONAL DA AREA PRIVADA
141615;Gerente de logística (armazenagem e distribuição);GERENTE DE LOGISTICA (ARMAZENAGEM E DISTRIBUICAO)
141415;Gerente de loja e supermercado;GERENTE DE LOJA E SUPERMERCADO
142315;Gerente de marketing;GERENTE DE MARKETING
142515;Gerente de operação de tecnologia da informação;GERENTE DE OPERACAO DE TECNOLOGIA DA INFORMACAO
141820;Gerente de operações de cargas;GERENTE DE OPERACOES DE CARGAS
141610;Gerente de operações de correios e telecomunicações;GERENTE DE OPERACOES DE CORREIOS E TELECOMUNICACOES
141420;Gerente de operações de serviços de assistência técnica;GERENTE DE OPERACOES DE SERVICOS DE ASSISTENCIA TECNICA
141605;Gerente de operações de transportes;GERENTE DE OPERACOES DE TRANSPORTES
141815;Gerente de operações em aeroportos;GERENTE DE OPERACOES EM AEROPORTOS
141520;Gerente de pensão;GERENTE DE PENSAO
142605;Gerente de pesquisa e desenvolvimento (p&d);GERENTE DE PESQUISA E DESENVOLVIMENTO (P&D)
141205;Gerente de produção e operações;GERENTE DE PRODUCAO E OPERACOES
141105;Gerente de produção e operações  aqüícolas;GERENTE DE PRODUCAO E OPERACOES  AQUICOLAS
141110;Gerente de produção e operações  florestais;GERENTE DE PRODUCAO E OPERACOES  FLORESTAIS
141115;Gerente de produção e operações agropecuárias;GERENTE DE PRODUCAO E OPERACOES AGROPECUARIAS
141305;Gerente de produção e operações da construção civil e obras públicas;GERENTE DE PRODUCAO E OPERACOES DA CONSTRUCAO CIVIL E OBRAS PUBLICAS
141120;Gerente de produção e operações pesqueiras;GERENTE DE PRODUCAO E OPERACOES PESQUEIRAS
141705;Gerente de produtos bancários;GERENTE DE PRODUTOS BANCARIOS
142520;Gerente de projetos de tecnologia da informação;GERENTE DE PROJETOS DE TECNOLOGIA DA INFORMACAO
142705;Gerente de projetos e serviços de manutenção;GERENTE DE PROJETOS E SERVICOS DE MANUTENCAO
141735;Gerente de recuperação de crédito;GERENTE DE RECUPERACAO DE CREDITO
142205;Gerente de recursos humanos;GERENTE DE RECURSOS HUMANOS
141510;Gerente de restaurante;GERENTE DE RESTAURANTE
142110;Gerente de riscos;GERENTE DE RISCOS
141825;Gerente de segurança da aviação civil;GERENTE DE SEGURANCA DA AVIACAO CIVIL
142525;Gerente de segurança da informação;GERENTE DE SEGURANCA DA INFORMACAO
141830;Gerente de segurança operacional (aviação civil);GERENTE DE SEGURANCA OPERACIONAL (AVIACAO CIVIL)
131115;Gerente de serviços culturais;GERENTE DE SERVICOS CULTURAIS
131210;Gerente de serviços de saúde;GERENTE DE SERVICOS DE SAUDE
131320;Gerente de serviços educacionais da área pública;GERENTE DE SERVICOS EDUCACIONAIS DA AREA PUBLICA
131120;Gerente de serviços sociais;GERENTE DE SERVICOS SOCIAIS
142530;Gerente de suporte técnico de tecnologia da informação;GERENTE DE SUPORTE TECNICO DE TECNOLOGIA DA INFORMACAO
142410;Gerente de suprimentos;GERENTE DE SUPRIMENTOS
141525;Gerente de turismo;GERENTE DE TURISMO
142320;Gerente de vendas;GERENTE DE VENDAS
142115;Gerente financeiro;GERENTE FINANCEIRO
131220;Gerontólogo;GERONTOLOGO
716405;Gesseiro;GESSEIRO
252605;Gestor em segurança;GESTOR EM SEGURANCA
111230;Governador de estado;GOVERNADOR DE ESTADO
111235;Governador do distrito federal;GOVERNADOR DO DISTRITO FEDERAL
513115;Governanta de hotelaria;GOVERNANTA DE HOTELARIA
751115;Gravador (joalheria e ourivesaria);GRAVADOR (JOALHERIA E OURIVESARIA)
712210;Gravador de inscrições em pedra;GRAVADOR DE INSCRICOES EM PEDRA
766135;Gravador de matriz calcográfica;GRAVADOR DE MATRIZ CALCOGRAFICA
766115;Gravador de matriz para flexografia (clicherista);GRAVADOR DE MATRIZ PARA FLEXOGRAFIA (CLICHERISTA)
766130;Gravador de matriz para rotogravura (eletromecânico e químico);GRAVADOR DE MATRIZ PARA ROTOGRAVURA (ELETROMECANICO E QUIMICO)
766140;Gravador de matriz serigráfica;GRAVADOR DE MATRIZ SERIGRAFICA
712215;Gravador de relevos em pedra;GRAVADOR DE RELEVOS EM PEDRA
752215;Gravador de vidro a  água-forte;GRAVADOR DE VIDRO A  AGUA-FORTE
752220;Gravador de vidro a  esmeril;GRAVADOR DE VIDRO A  ESMERIL
752225;Gravador de vidro a  jato de areia;GRAVADOR DE VIDRO A  JATO DE AREIA
768705;Gravador, à mão (encadernação);GRAVADOR, A MAO (ENCADERNACAO)
517235;Guarda portuário;GUARDA PORTUARIO
517215;Guarda-civil municipal;GUARDA-CIVIL MUNICIPAL
513325;Guarda-roupeiro de cinema;GUARDA-ROUPEIRO DE CINEMA
519925;Guardador de veículos;GUARDADOR DE VEICULOS
511405;Guia de turismo;GUIA DE TURISMO
632005;Guia florestal;GUIA FLORESTAL
782205;Guincheiro (construção civil);GUINCHEIRO (CONSTRUCAO CIVIL)
841444;Hidrogenador de óleos e gorduras;HIDROGENADOR DE OLEOS E GORDURAS
213425;Hidrogeólogo;HIDROGEOLOGO
214940;Higienista ocupacional;HIGIENISTA OCUPACIONAL
632115;Identificador florestal;IDENTIFICADOR FLORESTAL
372110;Iluminador (televisão);ILUMINADOR (TELEVISAO)
215125;Imediato da marinha mercante;IMEDIATO DA MARINHA MERCANTE
772110;Impregnador de madeira;IMPREGNADOR DE MADEIRA
766205;Impressor (serigrafia);IMPRESSOR (SERIGRAFIA)
766210;Impressor calcográfico;IMPRESSOR CALCOGRAFICO
766310;Impressor de corte e vinco;IMPRESSOR DE CORTE E VINCO
766215;Impressor de ofsete (plano e rotativo);IMPRESSOR DE OFSETE (PLANO E ROTATIVO)
766220;Impressor de rotativa;IMPRESSOR DE ROTATIVA
766225;Impressor de rotogravura;IMPRESSOR DE ROTOGRAVURA
766230;Impressor digital;IMPRESSOR DIGITAL
766235;Impressor flexográfico;IMPRESSOR FLEXOGRAFICO
766240;Impressor letterset;IMPRESSOR LETTERSET
766245;Impressor tampográfico;IMPRESSOR TAMPOGRAFICO
766250;Impressor tipográfico;IMPRESSOR TIPOGRAFICO
253410;Influenciador digital;INFLUENCIADOR DIGITAL
623010;Inseminador;INSEMINADOR
334105;Inspetor de alunos de escola privada;INSPETOR DE ALUNOS DE ESCOLA PRIVADA
334110;Inspetor de alunos de escola pública;INSPETOR DE ALUNOS DE ESCOLA PUBLICA
342530;Inspetor de aviação civil;INSPETOR DE AVIACAO CIVIL
314830;Inspetor de controle dimensional;INSPETOR DE CONTROLE DIMENSIONAL
314825;Inspetor de dutos;INSPETOR DE DUTOS
314815;Inspetor de ensaios não destrutivos;INSPETOR DE ENSAIOS NAO DESTRUTIVOS
314805;Inspetor de equipamentos;INSPETOR DE EQUIPAMENTOS
761805;Inspetor de estamparia (produção têxtil);INSPETOR DE ESTAMPARIA (PRODUCAO TEXTIL)
314810;Inspetor de fabricação;INSPETOR DE FABRICACAO
314840;Inspetor de manutenção;INSPETOR DE MANUTENCAO
314835;Inspetor de pintura;INSPETOR DE PINTURA
391205;Inspetor de qualidade;INSPETOR DE QUALIDADE
351725;Inspetor de risco;INSPETOR DE RISCO
342310;Inspetor de serviços de transportes rodoviários (passageiros e cargas);INSPETOR DE SERVICOS DE TRANSPORTES RODOVIARIOS (PASSAGEIROS E CARGAS)
351730;Inspetor de sinistros;INSPETOR DE SINISTROS
314845;Inspetor de soldagem;INSPETOR DE SOLDAGEM
215130;Inspetor de terminal;INSPETOR DE TERMINAL
