CODIGO;TITULO;TITULO_SEM_ACENTO_E_EM_CAIXA_ALTA
391140;Analista de manutenção (equipamentos aéreos);ANALISTA DE MANUTENCAO (EQUIPAMENTOS AEREOS)
253405;Analista de mídias sociais;ANALISTA DE MIDIAS SOCIAIS
142330;Analista de negócios;ANALISTA DE NEGOCIOS
252705;Analista de pcp (programação e controle da produção);ANALISTA DE PCP (PROGRAMACAO E CONTROLE DA PRODUCAO)
142335;Analista de pesquisa de mercado;ANALISTA DE PESQUISA DE MERCADO
391145;Analista de planejamento de manutenção;ANALISTA DE PLANEJAMENTO DE MANUTENCAO
252710;Analista de planejamento de materias;ANALISTA DE PLANEJAMENTO DE MATERIAS
111510;Analista de planejamento e orçamento - apo;ANALISTA DE PLANEJAMENTO E ORCAMENTO - APO
252540;Analista de produtos bancários;ANALISTA DE PRODUTOS BANCARIOS
252720;Analista de projetos logisticos;ANALISTA DE PROJETOS LOGISTICOS
252405;Analista de recursos humanos;ANALISTA DE RECURSOS HUMANOS
212410;Analista de redes e de comunicação de dados;ANALISTA DE REDES E DE COMUNICACAO DE DADOS
142130;Analista de riscos;ANALISTA DE RISCOS
351705;Analista de seguros (técnico);ANALISTA DE SEGUROS (TECNICO)
351710;Analista de sinistros;ANALISTA DE SINISTROS
212415;Analista de sistemas de automação;ANALISTA DE SISTEMAS DE AUTOMACAO
212420;Analista de suporte computacional;ANALISTA DE SUPORTE COMPUTACIONAL
212430;Analista de testes de tecnologia da informação;ANALISTA DE TESTES DE TECNOLOGIA DA INFORMACAO
342105;Analista de transporte em comércio exterior;ANALISTA DE TRANSPORTE EM COMERCIO EXTERIOR
252545;Analista financeiro (instituições financeiras);ANALISTA FINANCEIRO (INSTITUICOES FINANCEIRAS)
374155;Analista musical;ANALISTA MUSICAL
261705;Âncora de mídias audiovisuais;ANCORA DE MIDIAS AUDIOVISUAIS
251105;Antropólogo;ANTROPOLOGO
613405;Apicultor;APICULTOR
715705;Aplicador de asfalto impermeabilizante (coberturas);APLICADOR DE ASFALTO IMPERMEABILIZANTE (COBERTURAS)
424210;Aplicador de provas (concurso, avaliação,exame);APLICADOR DE PROVAS (CONCURSO, AVALIACAO,EXAME)
523120;Aplicador de vinil autoadesivo;APLICADOR DE VINIL AUTOADESIVO
752205;Aplicador serigráfico em vidros;APLICADOR SERIGRAFICO EM VIDROS
414205;Apontador de mão-de-obra;APONTADOR DE MAO-DE-OBRA
414210;Apontador de produção;APONTADOR DE PRODUCAO
376325;Apresentador de circo;APRESENTADOR DE CIRCO
376305;Apresentador de eventos;APRESENTADOR DE EVENTOS
376310;Apresentador de festas populares;APRESENTADOR DE FESTAS POPULARES
376315;Apresentador de programas de rádio;APRESENTADOR DE PROGRAMAS DE RADIO
376320;Apresentador de programas de televisão;APRESENTADOR DE PROGRAMAS DE TELEVISAO
377210;Árbitro de atletismo;ARBITRO DE ATLETISMO
377215;Árbitro de basquete;ARBITRO DE BASQUETE
377220;Árbitro de futebol;ARBITRO DE FUTEBOL
377225;Árbitro de futebol de salão;ARBITRO DE FUTEBOL DE SALAO
377230;Árbitro de judô;ARBITRO DE JUDO
377235;Árbitro de karatê;ARBITRO DE KARATE
377240;Árbitro de poló aquático;ARBITRO DE POLO AQUATICO
377245;Árbitro de vôlei;ARBITRO DE VOLEI
377205;Árbitro desportivo;ARBITRO DESPORTIVO
351440;Árbitro extrajudicial;ARBITRO EXTRAJUDICIAL
715305;Armador de estrutura de concreto;ARMADOR DE ESTRUTURA DE CONCRETO
715315;Armador de estrutura de concreto armado;ARMADOR DE ESTRUTURA DE CONCRETO ARMADO
414110;Armazenista;ARMAZENISTA
325010;Aromista;AROMISTA
251110;Arqueólogo;ARQUEOLOGO
214105;Arquiteto de edificações;ARQUITETO DE EDIFICACOES
214110;Arquiteto de interiores;ARQUITETO DE INTERIORES
214115;Arquiteto de patrimônio;ARQUITETO DE PATRIMONIO
212425;Arquiteto de soluções de tecnologia da informação;ARQUITETO DE SOLUCOES DE TECNOLOGIA DA INFORMACAO
214120;Arquiteto paisagista;ARQUITETO PAISAGISTA
214125;Arquiteto urbanista;ARQUITETO URBANISTA
261305;Arquivista;ARQUIVISTA
415105;Arquivista de documentos;ARQUIVISTA DE DOCUMENTOS
261105;Arquivista pesquisador (jornalismo);ARQUIVISTA PESQUISADOR (JORNALISMO)
763305;Arrematadeira;ARREMATADEIRA
791105;Artesão bordador;ARTESAO BORDADOR
791110;Artesão ceramista;ARTESAO CERAMISTA
791115;Artesão com material reciclável;ARTESAO COM MATERIAL RECICLAVEL
791120;Artesão confeccionador de biojóias e ecojóias;ARTESAO CONFECCIONADOR DE BIOJOIAS E ECOJOIAS
791150;Artesão crocheteiro;ARTESAO CROCHETEIRO
791125;Artesão do couro;ARTESAO DO COURO
791130;Artesão escultor;ARTESAO ESCULTOR
752105;Artesão modelador (vidros);ARTESAO MODELADOR (VIDROS)
791135;Artesão moveleiro (exceto reciclado);ARTESAO MOVELEIRO (EXCETO RECICLADO)
791160;Artesão rendeiro;ARTESAO RENDEIRO
791140;Artesão tecelão;ARTESAO TECELAO
791145;Artesão trançador;ARTESAO TRANCADOR
791155;Artesão tricoteiro;ARTESAO TRICOTEIRO
226310;Arteterapeuta;ARTETERAPEUTA
768305;Artífice do couro;ARTIFICE DO COURO
262405;Artista (artes visuais);ARTISTA (ARTES VISUAIS)
376210;Artista aéreo;ARTISTA AEREO
376215;Artista de circo (outros);ARTISTA DE CIRCO (OUTROS)
514105;Ascensorista;ASCENSORISTA
724105;Assentador de canalização (edificações);ASSENTADOR DE CANALIZACAO (EDIFICACOES)
716510;Assentador de revestimentos cerâmicos;ASSENTADOR DE REVESTIMENTOS CERAMICOS
261110;Assessor de imprensa;ASSESSOR DE IMPRENSA
411010;Assistente administrativo;ASSISTENTE ADMINISTRATIVO
351715;Assistente comercial de seguros;ASSISTENTE COMERCIAL DE SEGUROS
262805;Assistente de coreografia;ASSISTENTE DE COREOGRAFIA
261910;Assistente de direção (tv);ASSISTENTE DE DIRECAO (TV)
818105;Assistente de laboratório industrial;ASSISTENTE DE LABORATORIO INDUSTRIAL
373145;Assistente de operações audiovisuais;ASSISTENTE DE OPERACOES AUDIOVISUAIS
354125;Assistente de vendas;ASSISTENTE DE VENDAS
251605;Assistente social;ASSISTENTE SOCIAL
351720;Assistente técnico de seguros;ASSISTENTE TECNICO DE SEGUROS
716505;Assoalhador;ASSOALHADOR
516705;Astrólogo;ASTROLOGO
213305;Astrônomo;ASTRONOMO
421105;Atendente comercial (agência postal);ATENDENTE COMERCIAL (AGENCIA POSTAL)
413205;Atendente de agência;ATENDENTE DE AGENCIA
515110;Atendente de enfermagem;ATENDENTE DE ENFERMAGEM
521130;Atendente de farmácia - balconista;ATENDENTE DE FARMACIA - BALCONISTA
411015;Atendente de judiciário;ATENDENTE DE JUDICIARIO
513435;Atendente de lanchonete;ATENDENTE DE LANCHONETE
516340;Atendente de lavanderia;ATENDENTE DE LAVANDERIA
521140;Atendente de lojas e mercados;ATENDENTE DE LOJAS E MERCADOS
377105;Atleta profissional (outras modalidades);ATLETA PROFISSIONAL (OUTRAS MODALIDADES)
377110;Atleta profissional de futebol;ATLETA PROFISSIONAL DE FUTEBOL
377115;Atleta profissional de golfe;ATLETA PROFISSIONAL DE GOLFE
377120;Atleta profissional de luta;ATLETA PROFISSIONAL DE LUTA
377125;Atleta profissional de tênis;ATLETA PROFISSIONAL DE TENIS
262505;Ator;ATOR
211105;Atuário;ATUARIO
261430;Audiodescritor;AUDIODESCRITOR
252205;Auditor (contadores e afins);AUDITOR (CONTADORES E AFINS)
254205;Auditor-fiscal da previdência social;AUDITOR-FISCAL DA PREVIDENCIA SOCIAL
254105;Auditor-fiscal da receita federal;AUDITOR-FISCAL DA RECEITA FEDERAL
254305;Auditor-fiscal do trabalho;AUDITOR-FISCAL DO TRABALHO
261505;Autor-roteirista;AUTOR-ROTEIRISTA
515205;Auxiliar de banco de sangue;AUXILIAR DE BANCO DE SANGUE
371105;Auxiliar de biblioteca;AUXILIAR DE BIBLIOTECA
411025;Auxiliar de cartório;AUXILIAR DE CARTORIO
413110;Auxiliar de contabilidade;AUXILIAR DE CONTABILIDADE
763105;Auxiliar de corte (preparação da confecção de roupas);AUXILIAR DE CORTE (PREPARACAO DA CONFECCAO DE ROUPAS)
331110;Auxiliar de desenvolvimento infantil;AUXILIAR DE DESENVOLVIMENTO INFANTIL
322230;Auxiliar de enfermagem;AUXILIAR DE ENFERMAGEM
322250;Auxiliar de enfermagem da estratégia de saúde da família;AUXILIAR DE ENFERMAGEM DA ESTRATEGIA DE SAUDE DA FAMILIA
322235;Auxiliar de enfermagem do trabalho;AUXILIAR DE ENFERMAGEM DO TRABALHO
411005;Auxiliar de escritório;AUXILIAR DE ESCRITORIO
411035;Auxiliar de estatística;AUXILIAR DE ESTATISTICA
515210;Auxiliar de farmácia de manipulação;AUXILIAR DE FARMACIA DE MANIPULACAO
413115;Auxiliar de faturamento;AUXILIAR DE FATURAMENTO
411020;Auxiliar de judiciário;AUXILIAR DE JUDICIARIO
515215;Auxiliar de laboratório de análises clínicas;AUXILIAR DE LABORATORIO DE ANALISES CLINICAS
818110;Auxiliar de laboratório de análises físico-químicas;AUXILIAR DE LABORATORIO DE ANALISES FISICO-QUIMICAS
515220;Auxiliar de laboratório de imunobiológicos;AUXILIAR DE LABORATORIO DE IMUNOBIOLOGICOS
516345;Auxiliar de lavanderia;AUXILIAR DE LAVANDERIA
414140;Auxiliar de logistica;AUXILIAR DE LOGISTICA
514310;Auxiliar de manutenção predial;AUXILIAR DE MANUTENCAO PREDIAL
782625;Auxiliar de maquinista de trem;AUXILIAR DE MAQUINISTA DE TREM
411030;Auxiliar de pessoal;AUXILIAR DE PESSOAL
842120;Auxiliar de processamento de fumo;AUXILIAR DE PROCESSAMENTO DE FUMO
515225;Auxiliar de produção farmacêutica;AUXILIAR DE PRODUCAO FARMACEUTICA
322420;Auxiliar de prótese dentária;AUXILIAR DE PROTESE DENTARIA
766420;Auxiliar de radiologia (revelação fotográfica);AUXILIAR DE RADIOLOGIA (REVELACAO FOTOGRAFICA)
322240;Auxiliar de saúde (navegação marítima);AUXILIAR DE SAUDE (NAVEGACAO MARITIMA)
411040;Auxiliar de seguros;AUXILIAR DE SEGUROS
411045;Auxiliar de serviços de importação e exportação;AUXILIAR DE SERVICOS DE IMPORTACAO E EXPORTACAO
351430;Auxiliar de serviços jurídicos;AUXILIAR DE SERVICOS JURIDICOS
519305;Auxiliar de veterinário;AUXILIAR DE VETERINARIO
322415;Auxiliar em saúde bucal;AUXILIAR EM SAUDE BUCAL
322430;Auxiliar em saúde bucal da estratégia de saúde da família;AUXILIAR EM SAUDE BUCAL DA ESTRATEGIA DE SAUDE DA FAMILIA
992225;Auxiliar geral de conservação de vias permanentes (exceto trilhos);AUXILIAR GERAL DE CONSERVACAO DE VIAS PERMANENTES (EXCETO TRILHOS)
513505;Auxiliar nos serviços de alimentação;AUXILIAR NOS SERVICOS DE ALIMENTACAO
341250;Auxiliar técnico de sinalização nautica;AUXILIAR TECNICO DE SINALIZACAO NAUTICA
325105;Auxiliar técnico em laboratório de farmácia;AUXILIAR TECNICO EM LABORATORIO DE FARMACIA
354415;Avaliador de bens móveis;AVALIADOR DE BENS MOVEIS
354410;Avaliador de imóveis;AVALIADOR DE IMOVEIS
352410;Avaliador de produtos dos meios de comunicação;AVALIADOR DE PRODUTOS DOS MEIOS DE COMUNICACAO
224105;Avaliador físico;AVALIADOR FISICO
613305;Avicultor;AVICULTOR
516205;Babá;BABA
524315;Baiana de acarajé;BAIANA DE ACARAJE
262810;Bailarino (exceto danças populares);BAILARINO (EXCETO DANCAS POPULARES)
992110;Balanceador;BALANCEADOR
414115;Balanceiro;BALANCEIRO
811705;Bamburista;BAMBURISTA
519315;Banhista de animais domésticos;BANHISTA DE ANIMAIS DOMESTICOS
516105;Barbeiro;BARBEIRO
513440;Barista;BARISTA
513420;Barman;BARMAN
751105;Bate-folha a  máquina;BATE-FOLHA A  MAQUINA
261205;Bibliotecário;BIBLIOTECARIO
511220;Bilheteiro (estações de metrô, ferroviárias e assemelhadas);BILHETEIRO (ESTACOES DE METRO, FERROVIARIAS E ASSEMELHADAS)
421110;Bilheteiro de transportes coletivos;BILHETEIRO DE TRANSPORTES COLETIVOS
421115;Bilheteiro no serviço de diversões;BILHETEIRO NO SERVICO DE DIVERSOES
201105;Bioengenheiro;BIOENGENHEIRO
221105;Biólogo;BIOLOGO
221205;Biomédico;BIOMEDICO
201110;Biotecnologista;BIOTECNOLOGISTA
783230;Bloqueiro (trabalhador portuário);BLOQUEIRO (TRABALHADOR PORTUARIO)
731165;Bobinador eletricista, à mão;BOBINADOR ELETRICISTA, A MAO
731170;Bobinador eletricista, à máquina;BOBINADOR ELETRICISTA, A MAQUINA
516915;Body piercer;BODY PIERCER
782815;Boiadeiro;BOIADEIRO
517110;Bombeiro civil;BOMBEIRO CIVIL
517105;Bombeiro de aeródromo;BOMBEIRO DE AERODROMO
765015;Boneleiro;BONELEIRO
768205;Bordador, a  mão;BORDADOR, A  MAO
763310;Bordador, à máquina;BORDADOR, A MAQUINA
992115;Borracheiro;BORRACHEIRO
724305;Brasador;BRASADOR
517120;Brigadista florestal;BRIGADISTA FLORESTAL
516110;Cabeleireiro;CABELEIREIRO
722405;Cableador;CABLEADOR
31205;Cabo bombeiro militar;CABO BOMBEIRO MILITAR
21205;Cabo da polícia militar;CABO DA POLICIA MILITAR
113005;Cacique;CACIQUE
612605;Cafeicultor;CAFEICULTOR
413210;Caixa de banco;CAIXA DE BANCO
716605;Calafetador;CALAFETADOR
811710;Calandrista de borracha;CALANDRISTA DE BORRACHA
832105;Calandrista de papel;CALANDRISTA DE PAPEL
715205;Calceteiro;CALCETEIRO
724405;Caldeireiro (chapas de cobre);CALDEIREIRO (CHAPAS DE COBRE)
724410;Caldeireiro (chapas de ferro e aço);CALDEIREIRO (CHAPAS DE FERRO E ACO)
513315;Camareiro  de hotel;CAMAREIRO  DE HOTEL
513320;Camareiro de embarcações;CAMAREIRO DE EMBARCACOES
513305;Camareiro de teatro;CAMAREIRO DE TEATRO
513310;Camareiro de televisão;CAMAREIRO DE TELEVISAO
782505;Caminhoneiro autônomo (rotas regionais e internacionais);CAMINHONEIRO AUTONOMO (ROTAS REGIONAIS E INTERNACIONAIS)
711110;Canteiro;CANTEIRO
30205;Capitão bombeiro militar;CAPITAO BOMBEIRO MILITAR
20205;Capitão da polícia militar;CAPITAO DA POLICIA MILITAR
215110;Capitão de manobra da marinha mercante;CAPITAO DE MANOBRA DA MARINHA MERCANTE
411055;Captador de recursos;CAPTADOR DE RECURSOS
632610;Carbonizador;CARBONIZADOR
715505;Carpinteiro;CARPINTEIRO
715515;Carpinteiro (cenários);CARPINTEIRO (CENARIOS)
715510;Carpinteiro (esquadrias);CARPINTEIRO (ESQUADRIAS)
715520;Carpinteiro (mineração);CARPINTEIRO (MINERACAO)
715530;Carpinteiro (telhados);CARPINTEIRO (TELHADOS)
777205;Carpinteiro de carretas;CARPINTEIRO DE CARRETAS
777210;Carpinteiro de carrocerias;CARPINTEIRO DE CARROCERIAS
715535;Carpinteiro de fôrmas para concreto;CARPINTEIRO DE FORMAS PARA CONCRETO
715525;Carpinteiro de obras;CARPINTEIRO DE OBRAS
715540;Carpinteiro de obras civis de arte (pontes, túneis, barragens);CARPINTEIRO DE OBRAS CIVIS DE ARTE (PONTES, TUNEIS, BARRAGENS)
777105;Carpinteiro naval (construção de pequenas embarcações);CARPINTEIRO NAVAL (CONSTRUCAO DE PEQUENAS EMBARCACOES)
777110;Carpinteiro naval (embarcações);CARPINTEIRO NAVAL (EMBARCACOES)
777115;Carpinteiro naval (estaleiros);CARPINTEIRO NAVAL (ESTALEIROS)
783205;Carregador (aeronaves);CARREGADOR (AERONAVES)
783210;Carregador (armazém);CARREGADOR (ARMAZEM)
783215;Carregador (veículos de transportes terrestres);CARREGADOR (VEICULOS DE TRANSPORTES TERRESTRES)
519905;Cartazeiro;CARTAZEIRO
415205;Carteiro;CARTEIRO
833205;Cartonageiro, a mão (caixas de papelão);CARTONAGEIRO, A MAO (CAIXAS DE PAPELAO)
833105;Cartonageiro, a máquina;CARTONAGEIRO, A MAQUINA
632605;Carvoeiro;CARVOEIRO
622005;Caseiro (agricultura);CASEIRO (AGRICULTURA)
623025;Casqueador de animais;CASQUEADOR DE ANIMAIS
631005;Catador de caranguejos e siris;CATADOR DE CARANGUEJOS E SIRIS
631010;Catador de mariscos;CATADOR DE MARISCOS
519205;Catador de material reciclável;CATADOR DE MATERIAL RECICLAVEL
842225;Celofanista na fabricação de charutos;CELOFANISTA NA FABRICACAO DE CHARUTOS
723105;Cementador de metais;CEMENTADOR DE METAIS
262305;Cenógrafo carnavalesco e festas populares;CENOGRAFO CARNAVALESCO E FESTAS POPULARES
262310;Cenógrafo de cinema;CENOGRAFO DE CINEMA
262315;Cenógrafo de eventos;CENOGRAFO DE EVENTOS
262320;Cenógrafo de teatro;CENOGRAFO DE TEATRO
262325;Cenógrafo de tv;CENOGRAFO DE TV
374205;Cenotécnico (cinema, vídeo, televisão, teatro e espetáculos);CENOTECNICO (CINEMA, VIDEO, TELEVISAO, TEATRO E ESPETACULOS)
752305;Ceramista;CERAMISTA
752310;Ceramista (torno de pedal e motor);CERAMISTA (TORNO DE PEDAL E MOTOR)
752315;Ceramista (torno semi-automático);CERAMISTA (TORNO SEMI-AUTOMATICO)
752320;Ceramista modelador;CERAMISTA MODELADOR
752325;Ceramista moldador;CERAMISTA MOLDADOR
752330;Ceramista prensador;CERAMISTA PRENSADOR
354825;Cerimonialista;CERIMONIALISTA
768210;Cerzidor;CERZIDOR
776405;Cesteiro;CESTEIRO
724415;Chapeador;CHAPEADOR
724430;Chapeador de aeronaves;CHAPEADOR DE AERONAVES
724420;Chapeador de carrocerias metálicas (fabricação);CHAPEADOR DE CARROCERIAS METALICAS (FABRICACAO)
724425;Chapeador naval;CHAPEADOR NAVAL
768125;Chapeleiro (chapéus de palha);CHAPELEIRO (CHAPEUS DE PALHA)
765010;Chapeleiro de senhoras;CHAPELEIRO DE SENHORAS
842230;Charuteiro a mão;CHARUTEIRO A MAO
523115;Chaveiro;CHAVEIRO
510130;Chefe de bar;CHEFE DE BAR
517125;Chefe de brigada;CHEFE DE BRIGADA
840120;Chefe de confeitaria;CHEFE DE CONFEITARIA
351110;Chefe de contabilidade (técnico);CHEFE DE CONTABILIDADE (TECNICO)
271105;Chefe de cozinha;CHEFE DE COZINHA
342605;Chefe de estação portuária;CHEFE DE ESTACAO PORTUARIA
510120;Chefe de portaria de hotel;CHEFE DE PORTARIA DE HOTEL
342305;Chefe de serviço de transporte rodoviário (passageiros e cargas);CHEFE DE SERVICO DE TRANSPORTE RODOVIARIO (PASSAGEIROS E CARGAS)
353235;Chefe de serviços bancários;CHEFE DE SERVICOS BANCARIOS
513605;Churrasqueiro;CHURRASQUEIRO
519105;Ciclista mensageiro;CICLISTA MENSAGEIRO
211220;Cientista de dados;CIENTISTA DE DADOS
251115;Cientista político;CIENTISTA POLITICO
831105;Cilindreiro na preparação de pasta para fabricação de papel;CILINDREIRO NA PREPARACAO DE PASTA PARA FABRICACAO DE PAPEL
813105;Cilindrista (petroquímica e afins);CILINDRISTA (PETROQUIMICA E AFINS)
316340;Cimentador (poços de petróleo);CIMENTADOR (POCOS DE PETROLEO)
223204;Cirurgião dentista - auditor;CIRURGIAO DENTISTA - AUDITOR
223208;Cirurgião dentista - clínico geral;CIRURGIAO DENTISTA - CLINICO GERAL
223280;Cirurgião dentista - dentística;CIRURGIAO DENTISTA - DENTISTICA
223284;Cirurgião dentista - disfunção temporomandibular e dor orofacial;CIRURGIAO DENTISTA - DISFUNCAO TEMPOROMANDIBULAR E DOR OROFACIAL
223212;Cirurgião dentista - endodontista;CIRURGIAO DENTISTA - ENDODONTISTA
223216;Cirurgião dentista - epidemiologista;CIRURGIAO DENTISTA - EPIDEMIOLOGISTA
